"","inv2","inv3","website"
"177","Adms Chung","5400929750745088","http://www.seed-db.com/investorgraph/investorview?investorid=5400929750745088"
"178","Adms Chung","6342859246534656","http://www.seed-db.com/investorgraph/investorview?investorid=6342859246534656"
"179","Adora Cheung","5183638341681152","http://www.seed-db.com/investorgraph/investorview?investorid=5183638341681152"
"180","Adrian Aoun","4922419911327744","http://www.seed-db.com/investorgraph/investorview?investorid=4922419911327744"
"181","Adrian Eaglestone","5873188751802368","http://www.seed-db.com/investorgraph/investorview?investorid=5873188751802368"
"182","Adrian Stone","4808414987288576","http://www.seed-db.com/investorgraph/investorview?investorid=4808414987288576"
"183","Adrian Stone","6076139558666240","http://www.seed-db.com/investorgraph/investorview?investorid=6076139558666240"
"184","Adrien de Loes","4808682047012864","http://www.seed-db.com/investorgraph/investorview?investorid=4808682047012864"
"185","Advait Shinde","5735061764702208","http://www.seed-db.com/investorgraph/investorview?investorid=5735061764702208"
"186","Advancit Capital","5374146049474560","http://www.seed-db.com/investorgraph/investorview?investorid=5374146049474560"
"187","Advantage Capital Partners","5185274581614592","http://www.seed-db.com/investorgraph/investorview?investorid=5185274581614592"
"188","Adventure Capital","5531320109236224","http://www.seed-db.com/investorgraph/investorview?investorid=5531320109236224"
"189","Afore Capital","5183521324793856","http://www.seed-db.com/investorgraph/investorview?investorid=5183521324793856"
"190","Africa Angels Network","5264632436490240","http://www.seed-db.com/investorgraph/investorview?investorid=5264632436490240"
"191","Afshin Khosrowshahi","5004368155770880","http://www.seed-db.com/investorgraph/investorview?investorid=5004368155770880"
"192","AfterDox","4719794146246656","http://www.seed-db.com/investorgraph/investorview?investorid=4719794146246656"
"193","AgFunder","4921196399296512","http://www.seed-db.com/investorgraph/investorview?investorid=4921196399296512"
"194","AgLaunch Accelerator","5106695130841088","http://www.seed-db.com/investorgraph/investorview?investorid=5106695130841088"
"195","Agile Venture Capital","5685212226781184","http://www.seed-db.com/investorgraph/investorview?investorid=5685212226781184"
"196","Agustin Cuenca","5076963387506688","http://www.seed-db.com/investorgraph/investorview?investorid=5076963387506688"
"197","Agustin Cuenca","5654305453375488","http://www.seed-db.com/investorgraph/investorview?investorid=5654305453375488"
"198","Ahmad Mohammed Ahmad Al-Sayed","4530706935971840","http://www.seed-db.com/investorgraph/investorview?investorid=4530706935971840"
"199","Ahmad Mohammed Ahmad Al-Sayed","5925032849047552","http://www.seed-db.com/investorgraph/investorview?investorid=5925032849047552"
"200","Ahmed Medhat","6224787139461120","http://www.seed-db.com/investorgraph/investorview?investorid=6224787139461120"
"201","Air Asia","5074213920571392","http://www.seed-db.com/investorgraph/investorview?investorid=5074213920571392"
"202","AirTree Ventures","4812850715426816","http://www.seed-db.com/investorgraph/investorview?investorid=4812850715426816"
"203","Airbnb","6475113402728448","http://www.seed-db.com/investorgraph/investorview?investorid=6475113402728448"
"204","Ajay Narula","5000221901717504","http://www.seed-db.com/investorgraph/investorview?investorid=5000221901717504"
"205","Akshay Navle","5232733072654336","http://www.seed-db.com/investorgraph/investorview?investorid=5232733072654336"
"206","Al Hamra Group","5746110752620544","http://www.seed-db.com/investorgraph/investorview?investorid=5746110752620544"
"207","Alain Bankier","5143380795326464","http://www.seed-db.com/investorgraph/investorview?investorid=5143380795326464"
"208","Alain Bankier","5496343669768192","http://www.seed-db.com/investorgraph/investorview?investorid=5496343669768192"
"209","Alain Benzaken","6158961921228800","http://www.seed-db.com/investorgraph/investorview?investorid=6158961921228800"
"210","Alain Roubach","4983641985777664","http://www.seed-db.com/investorgraph/investorview?investorid=4983641985777664"
"211","Alan Jones","5645847542890496","http://www.seed-db.com/investorgraph/investorview?investorid=5645847542890496"
"212","Alan Jones","6754778218496000","http://www.seed-db.com/investorgraph/investorview?investorid=6754778218496000"
"213","Alan MacIntosh","5006624653574144","http://www.seed-db.com/investorgraph/investorview?investorid=5006624653574144"
"214","Alan Matthew","5757394302795776","http://www.seed-db.com/investorgraph/investorview?investorid=5757394302795776"
"215","Alan Stern","6687419805990912","http://www.seed-db.com/investorgraph/investorview?investorid=6687419805990912"
"216","Alan Wizemann","5363615859212288","http://www.seed-db.com/investorgraph/investorview?investorid=5363615859212288"
"217","Albatross Investment","4833046603759616","http://www.seed-db.com/investorgraph/investorview?investorid=4833046603759616"
"218","Albatross Investment","6229650837602304","http://www.seed-db.com/investorgraph/investorview?investorid=6229650837602304"
"219","Albert Armengol","6591476398030848","http://www.seed-db.com/investorgraph/investorview?investorid=6591476398030848"
"220","Albert Dobron, Jr.","6266922643488768","http://www.seed-db.com/investorgraph/investorview?investorid=6266922643488768"
"221","Albert Ni","5202893506347008","http://www.seed-db.com/investorgraph/investorview?investorid=5202893506347008"
"222","Albert Sheu","4769366604251136","http://www.seed-db.com/investorgraph/investorview?investorid=4769366604251136"
"223","Albert Sheu","6097611039703040","http://www.seed-db.com/investorgraph/investorview?investorid=6097611039703040"
"224","Alberto Benbunan","5284839615889408","http://www.seed-db.com/investorgraph/investorview?investorid=5284839615889408"
"225","Alberto Cuevas","5758310355566592","http://www.seed-db.com/investorgraph/investorview?investorid=5758310355566592"
"226","Alberto Gross","5751734391537664","http://www.seed-db.com/investorgraph/investorview?investorid=5751734391537664"
"227","Alberto Moriondo","5061544102592512","http://www.seed-db.com/investorgraph/investorview?investorid=5061544102592512"
"228","Alchemist Accelerator","5938992130293760","http://www.seed-db.com/investorgraph/investorview?investorid=5938992130293760"
"229","Aldo Manzini","5174515193610240","http://www.seed-db.com/investorgraph/investorview?investorid=5174515193610240"
"230","Alejandro Cosentino","5710037724954624","http://www.seed-db.com/investorgraph/investorview?investorid=5710037724954624"
"231","Alejandro Ozerkovsky","4947884621430784","http://www.seed-db.com/investorgraph/investorview?investorid=4947884621430784"
"232","Aleph","4824146479415296","http://www.seed-db.com/investorgraph/investorview?investorid=4824146479415296"
"233","Aleph","5845935317843968","http://www.seed-db.com/investorgraph/investorview?investorid=5845935317843968"
"234","Alessandro Piol","5069440198639616","http://www.seed-db.com/investorgraph/investorview?investorid=5069440198639616"
"235","Alex Bard","5549618448302080","http://www.seed-db.com/investorgraph/investorview?investorid=5549618448302080"
"236","Alex Bresler","5890118351060992","http://www.seed-db.com/investorgraph/investorview?investorid=5890118351060992"
"237","Alex Chua","4690672871276544","http://www.seed-db.com/investorgraph/investorview?investorid=4690672871276544"
"238","Alex Chung","6345205003321344","http://www.seed-db.com/investorgraph/investorview?investorid=6345205003321344"
"239","Alex Diaz","5380608482082816","http://www.seed-db.com/investorgraph/investorview?investorid=5380608482082816"
"240","Alex Enchin","5418005433417728","http://www.seed-db.com/investorgraph/investorview?investorid=5418005433417728"
"241","Alex Giannikoulis","4731409830772736","http://www.seed-db.com/investorgraph/investorview?investorid=4731409830772736"
"242","Alex Hoye","6027257025921024","http://www.seed-db.com/investorgraph/investorview?investorid=6027257025921024"
"243","Alex Iskold","5734441712353280","http://www.seed-db.com/investorgraph/investorview?investorid=5734441712353280"
"244","Alex Khein","5235975340949504","http://www.seed-db.com/investorgraph/investorview?investorid=5235975340949504"
"245","Alex Le","5752898038267904","http://www.seed-db.com/investorgraph/investorview?investorid=5752898038267904"
"246","Alex Lloyd","5689234597871616","http://www.seed-db.com/investorgraph/investorview?investorid=5689234597871616"
"247","Alex Lloyd","6222501843566592","http://www.seed-db.com/investorgraph/investorview?investorid=6222501843566592"
"248","Alex Modelski","5688866623193088","http://www.seed-db.com/investorgraph/investorview?investorid=5688866623193088"
"249","Alex Modelski","6456568526667776","http://www.seed-db.com/investorgraph/investorview?investorid=6456568526667776"
"250","Alex Moore","5974063889514496","http://www.seed-db.com/investorgraph/investorview?investorid=5974063889514496"
"251","Alex Ott","6695086322614272","http://www.seed-db.com/investorgraph/investorview?investorid=6695086322614272"
"252","Alex Payne","5148270632370176","http://www.seed-db.com/investorgraph/investorview?investorid=5148270632370176"
"253","Alex Rainert","4764772864098304","http://www.seed-db.com/investorgraph/investorview?investorid=4764772864098304"
"254","Alex Rampell","6328874329702400","http://www.seed-db.com/investorgraph/investorview?investorid=6328874329702400"
"255","Alex Rigopulos","5921463928356864","http://www.seed-db.com/investorgraph/investorview?investorid=5921463928356864"
"256","Alex Welch","5638906624081920","http://www.seed-db.com/investorgraph/investorview?investorid=5638906624081920"
"257","Alex Zubillaga","5657517153583104","http://www.seed-db.com/investorgraph/investorview?investorid=5657517153583104"
"258","Alex van Someren","5579323884961792","http://www.seed-db.com/investorgraph/investorview?investorid=5579323884961792"
"259","Alexander Bruehl","6343570621464576","http://www.seed-db.com/investorgraph/investorview?investorid=6343570621464576"
"260","Alexander Chang","6533977540132864","http://www.seed-db.com/investorgraph/investorview?investorid=6533977540132864"
"261","Alexander Gerko","6661725168336896","http://www.seed-db.com/investorgraph/investorview?investorid=6661725168336896"
"262","Alexander Goldstein","4878823577354240","http://www.seed-db.com/investorgraph/investorview?investorid=4878823577354240"
"263","Alexander Kritikos","6313574465011712","http://www.seed-db.com/investorgraph/investorview?investorid=6313574465011712"
"264","Alexander Levy","4675134484905984","http://www.seed-db.com/investorgraph/investorview?investorid=4675134484905984"
"265","Alexander Saint-Amand","5915173269274624","http://www.seed-db.com/investorgraph/investorview?investorid=5915173269274624"
"266","Alexander Yu","6713722722582528","http://www.seed-db.com/investorgraph/investorview?investorid=6713722722582528"
"267","Alexandre Almajeanu","5388612568875008","http://www.seed-db.com/investorgraph/investorview?investorid=5388612568875008"
"268","Alexandre Azoulay","4804682673291264","http://www.seed-db.com/investorgraph/investorview?investorid=4804682673291264"
